,experiment,lambda_entropy,n_inp,depth,n_selection_heads,samples,n_iteration,rmse,formula
0,math4,0.001,3,2,2,320,5000,0.5159598597715397,0.979*x_1**2 + 0.997*x_1*x_2**2 - 0.026*x_1*x_2 - 0.e-3*x_1*x_3 + 0.001*x_1 - 1.001*x_2**3 - 0.02*x_2**2 + 0.003*x_2 + 0.016*x_3 - 0.e-3*sin(x_1) - 0.e-3*sin(x_2) + 0.001*cos(x_1) + 0.002*cos(x_2) + 0.015
1,math4,0.01,3,2,2,320,5000,0.4700653100605614,0.991*x_1**2 + 0.987*x_1*x_2**2 + 0.026*x_1*x_2 + 0.027*x_1 - 0.999*x_2**3 - 0.e-3*x_2**2 + 0.015*x_2 - 0.016*sin(x_1) - 0.03*sin(x_3) + 0.091*sin(0.013*x_1 + 1.062*x_2**2 + 0.013*x_2) - 0.076*cos(x_1) - 0.091*cos(x_3) - 0.018*cos(1.581*x_1*x_2)
2,math4,1.0,3,2,2,320,5000,0.6802437245272123,1.021*x_1**2 + 1.006*x_1*x_2**2 - 0.105*x_1*x_2 + 0.011*x_1*x_3 - 0.079*x_1 - 0.994*x_2**3 - 0.049*x_2**2 - 0.011*x_2*x_3 - 0.011*x_2 - 0.144*x_3 - 0.025*sin(1.889*x_1*x_2 + 0.014*x_1 + 0.014*x_2) - 0.14*cos(x_1) + 0.021*cos(1.889*x_1*x_2 + 0.014*x_1 + 0.014*x_2) + 0.021*cos(0.965*x_1 + 0.931*x_2**2 + 0.056*x_2 + 0.011*x_3)
3,math4,0.001,3,2,2,320,10000,0.22718647347228915,0.001*x_1**3 + 0.989*x_1**2 + 0.997*x_1*x_2**2 + 0.001*x_1*x_2 + 0.001*x_1*sin(x_1) - 0.007*x_1*sin(x_3) + 0.012*x_1*cos(x_1) - 0.e-3*x_1*cos(x_2) - 0.038*x_1 - 0.999*x_2**3 + 0.047*x_2**2 + 0.038*x_2*cos(x_2) - 0.053*x_2 - 0.021*sin(x_1) - 0.013*sin(x_2) + 0.008*sin(x_3) - 0.111*sin(0.598*x_1*x_2 + 0.026*x_1 - 0.603*x_2**2 + 0.023*cos(x_2)) + 0.006*cos(x_1) - 0.002*cos(x_2) - 0.016*cos(x_3) + 0.067*cos(0.598*x_1*x_2 + 0.026*x_1 - 0.603*x_2**2 + 0.023*cos(x_2)) + 0.043*cos(0.016*x_1**2 + 0.142*x_1 + 0.156*x_2**2 - 0.11*x_2 + 0.039*sin(x_1) - 0.192*sin(x_3) + 0.316*cos(x_1) - 0.015*cos(x_2))
4,math4,0.01,3,2,2,320,10000,0.09749601639700968,0.914*x_1**2 + 0.994*x_1*x_2**2 - 0.005*x_1*x_2 + 0.001*x_1 - 0.997*x_2**3 - 0.007*x_2**2 + 0.011*x_2 + 0.026*x_3 + 0.023*cos(x_1) + 0.015*cos(0.038*x_1 + 1.199*x_2**2 + 0.033*x_2)
5,math4,1.0,3,2,2,320,10000,0.10843284971896035,0.961*x_1**2 + 0.996*x_1*x_2**2 - 0.998*x_2**3
6,math4,0.001,3,2,2,320,50000,0.06225576048090419,0.927*x_1**2 + 1.0*x_1*x_2**2 - 0.022*x_1*x_2 + 0.015*x_1*x_3 - 0.01*x_1 - 0.999*x_2**3 - 0.083*x_2**2 - 0.015*x_2*x_3 - 0.011*x_2 - 0.01*x_3 - 0.002*sin(x_1) - 0.003*sin(x_2) + 0.019*cos(x_2) + 0.012
7,math4,0.01,3,2,2,320,50000,0.0245522140532943,0.901*x_1**2 + 1.0*x_1*x_2**2 + 0.014*x_1 - 1.0*x_2**3 - 0.026*x_2**2 + 0.011*x_2 + 0.013*x_3
8,math4,1.0,3,2,2,320,50000,0.04331870957914571,0.657*x_1**2 + 0.994*x_1*x_2**2 + 0.01*x_1*x_2 + 0.015*x_1 - 1.0*x_2**3 - 0.01*x_2**2 + 0.015*x_2*x_3 - 0.011*x_2 - 0.011*x_3
9,math4,0.001,3,2,2,3200,5000,0.8866517967528981,-0.002*x_1**2*x_2 + 0.98*x_1**2 + 0.989*x_1*x_2**2 + 0.015*x_1*x_2 + 0.016*x_1*x_3 + 0.01*x_1*sin(x_2) + 0.025*x_1*cos(x_1) - 0.009*x_1 - 0.984*x_2**3 - 0.04*x_2*cos(x_1) - 0.017*x_2
10,math4,0.01,3,2,2,3200,5000,0.5124744813570081,0.013*x_1**2 + 0.021*x_1*x_2 + 0.011*x_1*x_3 + 0.032*x_1*(0.017*x_1**2 - 0.557*x_1*x_2 + 0.574*x_2**2 - 0.021*cos(x_2)) + 0.73*x_1*(0.072*x_1*x_2 + 1.294*x_1 + 0.012*x_2*x_3 - 0.102*x_2 + 0.005*x_3 - 0.023*cos(x_1) - 0.043) + 0.118*x_1 - 0.021*x_2**2 - 0.018*x_2*x_3 - 1.74*x_2*(0.017*x_1**2 - 0.557*x_1*x_2 + 0.574*x_2**2 - 0.021*cos(x_2)) + 0.067*x_2*(0.072*x_1*x_2 + 1.294*x_1 + 0.012*x_2*x_3 - 0.102*x_2 + 0.005*x_3 - 0.023*cos(x_1) - 0.043) - 0.131*x_2 + 0.013*(0.017*x_1**2 - 0.557*x_1*x_2 + 0.574*x_2**2 - 0.021*cos(x_2))*(0.072*x_1*x_2 + 1.294*x_1 + 0.012*x_2*x_3 - 0.102*x_2 + 0.005*x_3 - 0.023*cos(x_1) - 0.043) + 0.04*(0.056*x_1*x_2 + x_1 + 0.009*x_2*x_3 - 0.079*x_2 + 0.004*x_3 - 0.018*cos(x_1) - 0.033)**2 - 0.017*sin(x_2) + 0.001*cos(x_2)
11,math4,1.0,3,2,2,3200,5000,0.4249483133274774,0.977*x_1**2 + 1.001*x_1*x_2**2 - 0.01*x_1*x_2 + 0.01*x_1*x_3 - 0.013*x_1 - 1.0*x_2**3 - 0.021*x_2**2 - 0.01*x_2*x_3 + 0.001*x_2
12,math4,0.001,3,2,2,3200,10000,0.03838905233200468,0.997*x_1**2 + 0.996*x_1*x_2**2 - 0.999*x_2**3
13,math4,0.01,3,2,2,3200,10000,0.06625297605300065,0.996*x_1**2 + 0.996*x_1*x_2**2 - 0.999*x_2**3
14,math4,1.0,3,2,2,3200,10000,0.0718782127185722,0.986*x_1**2 + 0.996*x_1*x_2**2 - 0.014*x_1*x_2 + 0.002*x_1 - 0.999*x_2**3 - 0.047*x_2**2 + 0.002*x_2 + 0.01*cos(x_2)
15,math4,0.001,3,2,2,3200,50000,0.11934766731180321,-0.001*x_1**3 + 0.001*x_1**2*x_2 + 0.999*x_1**2 + 0.999*x_1*x_2**2 + 0.011*x_1*x_2 + 0.09*x_1 - 0.999*x_2**3 - 0.021*x_2**2 - 0.011*x_2 + 0.002*x_3 + 0.032*sin(x_1) - 0.014*sin(x_2) + 0.011*sin(x_3) + 0.044
